customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,Cuentas_Diarias
0002-orfbo,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,593.3,2.19
0003-mknfe,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed check,59.9,542.4,2.0
0004-tlhlj,yes,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,280.85,2.46
0011-igkff,yes,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,1237.85,3.27
0013-exchz,yes,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,mailed check,83.9,267.4,2.8
0013-mhzwf,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),69.4,571.45,2.31
0013-smeoe,no,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.7,7904.25,3.66
0014-bmaqu,no,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,credit card (automatic),84.65,5377.8,2.82
0015-uocoj,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,340.35,1.61
0016-qljis,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.45,5957.9,3.02
0017-dinoc,no,male,0,no,no,54,no,no,dsl,yes,no,no,yes,yes,no,two year,no,credit card (automatic),45.2,2460.55,1.51
0017-iudmw,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),116.8,8456.75,3.89
0018-nyrou,no,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,68.95,351.5,2.3
0019-efaep,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,7261.25,3.38
0019-gfntw,no,female,0,no,no,56,no,no,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),45.05,2560.1,1.5
0020-inwck,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,6849.4,3.19
0020-jdnxp,no,female,0,yes,yes,34,no,no,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,1993.2,2.04
0021-ikxgc,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,72.1,2.4
0022-tcjci,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),62.7,2791.5,2.09
0023-hghwl,yes,male,1,no,no,1,no,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,25.1,0.84
0023-uyupn,no,female,1,yes,no,50,yes,yes,no,no,no,no,no,no,no,one year,no,electronic check,25.2,1306.3,0.84
0023-xuopt,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,1215.6,3.14
0027-kwykw,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,1849.95,2.79
0030-fnxpp,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,57.2,0.66
0031-pvlzi,yes,female,0,yes,yes,4,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.35,76.35,0.68
0032-pgels,yes,female,0,yes,yes,1,no,no,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),30.5,30.5,1.02
0036-ihmot,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),103.7,5656.75,3.46
0040-halcw,no,male,0,yes,yes,54,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),20.4,1090.6,0.68
0042-jvwoj,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),19.6,471.85,0.65
0042-rlhyp,no,female,0,yes,yes,69,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),19.7,1396.9,0.66
0047-zhdtw,no,female,0,no,no,11,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),79.0,929.3,2.63
0048-lumls,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3247.55,3.04
0048-pihnl,no,female,0,yes,no,49,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),20.45,900.9,0.68
0052-dckon,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),115.8,7942.15,3.86
0052-ynyot,no,female,0,no,no,67,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,20.55,1343.4,0.68
0056-epfbg,no,male,0,yes,yes,20,no,no,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,825.4,1.31
